time,anchor_id,tag_id,Temperature,Humidity,rssi
2022-05-16 16:34:31.804438,84CCA8550D40,ac:23:3f:4e:6b:57,26.71,53.46,-69
2022-05-16 16:35:01.533542,84CCA8550D40,ac:23:3f:4e:6b:57,26.7,54.66,-83
2022-05-16 16:35:26.310012,84CCA8550D40,ac:23:3f:4e:6b:57,26.7,54.7,-72
2022-05-16 16:35:56.080712,84CCA8550D40,ac:23:3f:4e:6b:57,26.61,53.17,-75
2022-05-16 16:36:20.826093,84CCA8550D40,ac:23:3f:4e:6b:57,26.57,53.12,-75
2022-05-16 16:36:50.795316,84CCA8550D40,ac:23:3f:4e:6b:57,26.51,52.91,-73
2022-05-16 16:37:20.402209,84CCA8550D40,ac:23:3f:4e:6b:57,26.5,53.86,-73
2022-05-16 16:37:47.662194,84CCA8550D40,ac:23:3f:4e:6b:57,26.51,53.89,-79
2022-05-16 16:38:14.834717,84CCA8550D40,ac:23:3f:4e:6b:57,26.52,53.65,-73
2022-05-16 16:38:39.610036,84CCA8550D40,ac:23:3f:4e:6b:57,26.52,53.71,-72
2022-05-16 16:39:09.332062,84CCA8550D40,ac:23:3f:4e:6b:57,26.46,52.99,-74
2022-05-16 16:39:39.200223,84CCA8550D40,ac:23:3f:4e:6b:57,26.41,52.53,-82
2022-05-16 16:40:00.047330,84CCA8550D40,ac:23:3f:4e:6b:57,26.37,52.74,-93
2022-05-16 16:40:34.643332,84CCA8550D40,ac:23:3f:4e:6b:57,26.37,52.98,-74
2022-05-16 16:40:59.438430,84CCA8550D40,ac:23:3f:4e:6b:57,26.39,53.13,-72
2022-05-16 16:41:29.167465,84CCA8550D40,ac:23:3f:4e:6b:57,26.4,53.87,-65
2022-05-16 16:41:53.936864,84CCA8550D40,ac:23:3f:4e:6b:57,26.42,54.16,-70
2022-05-16 16:42:23.924037,84CCA8550D40,ac:23:3f:4e:6b:57,26.43,53.85,-75
2022-05-16 16:42:55.812239,84CCA8550D40,ac:23:3f:4e:6b:57,26.39,53.66,-73
2022-05-16 16:43:24.210369,84CCA8550D40,ac:23:3f:4e:6b:57,26.4,53.8,-72
2022-05-16 16:44:22.674281,84CCA8550D40,ac:23:3f:4e:6b:57,26.39,53.55,-70
2022-05-16 16:44:46.473467,84CCA8550D40,ac:23:3f:4e:6b:57,26.42,53.85,-70
2022-05-16 16:44:55.866142,84CCA8550D40,ac:23:3f:4e:6b:57,26.42,53.85,-73
2022-05-16 16:46:12.916335,84CCA8550D40,ac:23:3f:4e:6b:57,26.39,53.83,-72
2022-05-16 16:46:22.540099,84CCA8550D40,ac:23:3f:4e:6b:57,26.39,53.83,-74
2022-05-16 16:46:56.537092,84CCA8550D40,ac:23:3f:4e:6b:57,26.36,53.81,-73
2022-05-16 16:47:26.358943,84CCA8550D40,ac:23:3f:4e:6b:57,26.36,53.79,-77
2022-05-16 16:47:51.025706,84CCA8550D40,ac:23:3f:4e:6b:57,26.32,53.99,-72
2022-05-16 16:48:20.840833,84CCA8550D40,ac:23:3f:4e:6b:57,26.2,53.78,-72
2022-05-16 16:48:35.386851,84CCA8550D40,ac:23:3f:4e:6b:57,26.18,54.18,-74
2022-05-16 16:48:44.848535,84CCA8550D40,ac:23:3f:4e:6b:57,26.18,54.18,-70
2022-05-16 16:49:19.107935,84CCA8550D40,ac:23:3f:4e:6b:57,26.14,54.16,-73
2022-05-16 16:49:48.844473,84CCA8550D40,ac:23:3f:4e:6b:57,26.07,54.3,-70
2022-05-16 16:50:13.933968,84CCA8550D40,ac:23:3f:4e:6b:57,26.08,54.52,-69
2022-05-16 16:50:49.922032,84CCA8550D40,ac:23:3f:4e:6b:57,26.05,54.57,-72
2022-05-16 16:50:58.358031,84CCA8550D40,ac:23:3f:4e:6b:57,26.05,54.58,-72
2022-05-16 16:51:17.288008,84CCA8550D40,ac:23:3f:4e:6b:57,26.05,54.64,-69
2022-05-16 16:51:38.146636,84CCA8550D40,ac:23:3f:4e:6b:57,26.05,54.64,-68
2022-05-16 16:52:22.224081,84CCA8550D40,ac:23:3f:4e:6b:57,26.02,54.7,-75
2022-05-16 16:52:36.858651,84CCA8550D40,ac:23:3f:4e:6b:57,26.06,54.72,-75
2022-05-16 16:52:46.333268,84CCA8550D40,ac:23:3f:4e:6b:57,26.06,54.72,-74
2022-05-16 16:57:44.786911,84CCA8550D40,ac:23:3f:4e:6b:57,26.3,53.87,-69
2022-05-16 16:58:14.659035,84CCA8550D40,ac:23:3f:4e:6b:57,26.3,53.84,-71
2022-05-16 16:58:39.334369,84CCA8550D40,ac:23:3f:4e:6b:57,26.32,54.3,-70
2022-05-16 16:59:08.972218,84CCA8550D40,ac:23:3f:4e:6b:57,26.28,53.98,-74
2022-05-16 16:59:38.682000,84CCA8550D40,ac:23:3f:4e:6b:57,26.17,54.37,-77
2022-05-16 17:00:03.520833,84CCA8550D40,ac:23:3f:4e:6b:57,26.03,54.71,-78
2022-05-16 17:00:33.229701,84CCA8550D40,ac:23:3f:4e:6b:57,26.01,55.05,-72
2022-05-16 17:01:03.071248,84CCA8550D40,ac:23:3f:4e:6b:57,25.98,55.28,-78
2022-05-16 17:01:27.711096,84CCA8550D40,ac:23:3f:4e:6b:57,26.01,55.39,-77
2022-05-16 17:01:57.698060,84CCA8550D40,ac:23:3f:4e:6b:57,26.04,55.36,-71
2022-05-16 17:02:22.481528,84CCA8550D40,ac:23:3f:4e:6b:57,26.06,55.2,-78
2022-05-16 17:02:47.070408,84CCA8550D40,ac:23:3f:4e:6b:57,26.1,55.37,-70
2022-05-16 17:02:56.348018,84CCA8550D40,ac:23:3f:4e:6b:57,26.1,55.37,-75
2022-05-16 17:03:30.644499,84CCA8550D40,ac:23:3f:4e:6b:57,26.17,55.52,-81
2022-05-16 17:04:00.403239,84CCA8550D40,ac:23:3f:4e:6b:57,26.21,55.16,-76
2022-05-16 17:04:30.379582,84CCA8550D40,ac:23:3f:4e:6b:57,26.23,55.14,-76
2022-05-16 17:04:55.060471,84CCA8550D40,ac:23:3f:4e:6b:57,26.17,54.92,-76
2022-05-16 17:05:24.630822,84CCA8550D40,ac:23:3f:4e:6b:57,26.18,55.05,-76
2022-05-16 17:05:49.328728,84CCA8550D40,ac:23:3f:4e:6b:57,26.18,54.92,-67
2022-05-16 17:06:19.034924,84CCA8550D40,ac:23:3f:4e:6b:57,26.17,55.02,-75
2022-05-16 17:06:48.952801,84CCA8550D40,ac:23:3f:4e:6b:57,26.2,55.29,-74
2022-05-16 17:07:18.838794,84CCA8550D40,ac:23:3f:4e:6b:57,26.17,55.28,-74
2022-05-16 17:08:03.085816,84CCA8550D40,ac:23:3f:4e:6b:57,26.21,55.47,-69
2022-05-16 17:08:27.777311,84CCA8550D40,ac:23:3f:4e:6b:57,26.22,55.5,-72
2022-05-16 17:08:58.069413,84CCA8550D40,ac:23:3f:4e:6b:57,26.22,55.29,-70
2022-05-16 17:09:22.755505,84CCA8550D40,ac:23:3f:4e:6b:57,26.26,55.31,-73
2022-05-16 17:09:52.369923,84CCA8550D40,ac:23:3f:4e:6b:57,26.26,55.08,-75
2022-05-16 17:10:22.123273,84CCA8550D40,ac:23:3f:4e:6b:57,26.27,55.13,-76
2022-05-16 17:10:46.809866,84CCA8550D40,ac:23:3f:4e:6b:57,26.23,54.98,-70
2022-05-16 17:11:16.546996,84CCA8550D40,ac:23:3f:4e:6b:57,26.24,55.63,-75
2022-05-16 17:11:46.530601,84CCA8550D40,ac:23:3f:4e:6b:57,26.26,55.83,-70
2022-05-16 17:12:11.316178,84CCA8550D40,ac:23:3f:4e:6b:57,26.23,55.26,-69
2022-05-16 17:12:40.810347,84CCA8550D40,ac:23:3f:4e:6b:57,26.24,55.25,-73
2022-05-16 17:13:05.564030,84CCA8550D40,ac:23:3f:4e:6b:57,26.23,55.07,-72
2022-05-16 17:13:35.289328,84CCA8550D40,ac:23:3f:4e:6b:57,26.22,55.05,-75
2022-05-16 17:14:05.180112,84CCA8550D40,ac:23:3f:4e:6b:57,26.2,55.03,-68
2022-05-16 17:14:29.836181,84CCA8550D40,ac:23:3f:4e:6b:57,26.16,55.68,-67
2022-05-16 17:14:59.782447,84CCA8550D40,ac:23:3f:4e:6b:57,26.15,55.42,-72
2022-05-16 17:15:24.544146,84CCA8550D40,ac:23:3f:4e:6b:57,26.17,56.33,-74
2022-05-16 17:15:54.065326,84CCA8550D40,ac:23:3f:4e:6b:57,26.17,55.69,-75
2022-05-16 17:16:24.218072,84CCA8550D40,ac:23:3f:4e:6b:57,26.18,55.5,-73
2022-05-16 17:16:48.907245,84CCA8550D40,ac:23:3f:4e:6b:57,26.24,55.34,-77
2022-05-16 17:17:19.384605,84CCA8550D40,ac:23:3f:4e:6b:57,26.24,55.34,-75
2022-05-16 17:17:44.255065,84CCA8550D40,ac:23:3f:4e:6b:57,26.25,55.22,-68
2022-05-16 17:18:13.821212,84CCA8550D40,ac:23:3f:4e:6b:57,26.26,55.22,-69
2022-05-16 17:18:43.378435,84CCA8550D40,ac:23:3f:4e:6b:57,26.28,55.28,-74
2022-05-16 17:19:08.060246,84CCA8550D40,ac:23:3f:4e:6b:57,26.32,55.25,-75
2022-05-16 17:19:34.344211,84CCA8550D40,ac:23:3f:4e:6b:57,26.34,55.18,-68
2022-05-16 17:20:04.067864,84CCA8550D40,ac:23:3f:4e:6b:57,26.34,55.08,-77
2022-05-16 17:20:33.970303,84CCA8550D40,ac:23:3f:4e:6b:57,26.36,55.14,-70
2022-05-16 17:20:58.555887,84CCA8550D40,ac:23:3f:4e:6b:57,26.37,55.52,-80
2022-05-16 17:21:28.519752,84CCA8550D40,ac:23:3f:4e:6b:57,26.36,55.48,-79
2022-05-16 17:21:58.107253,84CCA8550D40,ac:23:3f:4e:6b:57,26.33,55.33,-68
2022-05-16 17:22:22.783452,84CCA8550D40,ac:23:3f:4e:6b:57,26.35,55.21,-77
